,location,total_sqft,bath,price,bhk
69,7th Phase JP Nagar,1040.0,2,75.0,2
70,7th Phase JP Nagar,1400.0,2,95.0,3
71,7th Phase JP Nagar,1800.0,3,130.0,3
72,7th Phase JP Nagar,1050.0,2,68.0,2
73,7th Phase JP Nagar,1000.0,2,60.0,2
74,7th Phase JP Nagar,1680.0,3,125.0,3
75,7th Phase JP Nagar,1050.0,2,77.47,2
76,7th Phase JP Nagar,1270.0,2,80.0,2
77,7th Phase JP Nagar,1463.0,2,61.45,3
78,7th Phase JP Nagar,1680.0,3,122.0,3
79,7th Phase JP Nagar,1130.0,2,85.0,2
80,7th Phase JP Nagar,1680.0,3,130.0,3
81,7th Phase JP Nagar,980.0,2,77.44,2
82,7th Phase JP Nagar,1680.0,3,112.0,3
83,7th Phase JP Nagar,1515.0,2,76.0,3
84,7th Phase JP Nagar,2095.0,3,150.0,3
85,7th Phase JP Nagar,1976.0,3,145.0,3
86,7th Phase JP Nagar,1600.0,2,110.0,3
87,7th Phase JP Nagar,1765.0,3,118.0,3
88,7th Phase JP Nagar,1275.0,2,88.0,3
89,7th Phase JP Nagar,1450.0,2,102.0,3
90,7th Phase JP Nagar,1575.0,2,110.0,3
91,7th Phase JP Nagar,1075.0,2,57.0,3
92,7th Phase JP Nagar,750.0,1,47.0,1
93,7th Phase JP Nagar,990.0,2,50.0,2
94,7th Phase JP Nagar,1000.0,1,60.0,1
95,7th Phase JP Nagar,1680.0,2,92.0,3
96,7th Phase JP Nagar,1430.0,2,102.0,3
97,7th Phase JP Nagar,1128.0,2,60.0,2
98,7th Phase JP Nagar,1140.0,2,57.0,2
99,7th Phase JP Nagar,1420.0,3,90.0,3
100,7th Phase JP Nagar,1530.0,2,108.0,2
101,8th Phase JP Nagar,1073.5,2,54.005,2
102,8th Phase JP Nagar,451.0,1,29.9,1
103,8th Phase JP Nagar,1240.0,3,43.5,3
104,8th Phase JP Nagar,1062.0,2,42.47,2
105,8th Phase JP Nagar,1230.0,2,43.5,3
106,8th Phase JP Nagar,1455.0,3,73.31,3
107,8th Phase JP Nagar,871.0,2,55.0,2
108,8th Phase JP Nagar,1098.0,2,43.91,2
109,8th Phase JP Nagar,1800.0,3,80.0,3
110,8th Phase JP Nagar,2700.0,4,130.0,4
111,8th Phase JP Nagar,1080.0,2,38.0,2
112,8th Phase JP Nagar,1059.0,2,34.5,2
113,8th Phase JP Nagar,1080.0,2,35.0,2
114,8th Phase JP Nagar,1275.0,2,41.5,3
115,8th Phase JP Nagar,1062.0,2,42.47,2
116,8th Phase JP Nagar,500.0,1,31.0,1
117,8th Phase JP Nagar,1100.0,2,35.0,2
118,8th Phase JP Nagar,2100.0,4,92.0,4
119,8th Phase JP Nagar,1035.0,2,39.33,2
120,8th Phase JP Nagar,909.0,2,40.9,2
121,8th Phase JP Nagar,1431.5,3,72.02,3
122,8th Phase JP Nagar,1900.0,4,90.0,3
123,8th Phase JP Nagar,500.0,1,30.0,1
124,8th Phase JP Nagar,1125.0,2,36.94,2
125,8th Phase JP Nagar,1100.0,2,35.0,2
126,8th Phase JP Nagar,1089.0,2,43.55,2
127,8th Phase JP Nagar,1605.0,2,65.0,3
128,8th Phase JP Nagar,1504.0,2,83.0,3
129,8th Phase JP Nagar,2600.0,4,115.0,4
130,8th Phase JP Nagar,1368.0,2,54.71,3
131,8th Phase JP Nagar,1089.0,2,43.55,2
132,8th Phase JP Nagar,1224.0,2,48.95,3
133,8th Phase JP Nagar,1513.0,2,62.0,2
134,8th Phase JP Nagar,1298.0,2,59.0,2
135,8th Phase JP Nagar,1006.0,2,44.0,2
136,8th Phase JP Nagar,500.0,1,33.0,1
137,8th Phase JP Nagar,1160.0,2,95.0,2
138,8th Phase JP Nagar,1245.0,2,59.0,2
139,8th Phase JP Nagar,1510.0,2,80.0,2
140,8th Phase JP Nagar,3300.0,3,165.0,3
141,8th Phase JP Nagar,1730.0,5,75.0,5
142,8th Phase JP Nagar,1296.0,2,51.83,3
143,8th Phase JP Nagar,1275.0,3,45.0,3
144,8th Phase JP Nagar,1046.0,2,48.0,2
145,8th Phase JP Nagar,1269.0,2,50.75,3
146,8th Phase JP Nagar,1408.0,3,80.0,3
147,8th Phase JP Nagar,1500.0,2,55.0,3
148,Akshaya Nagar,1388.0,2,57.0,2
149,Akshaya Nagar,1070.0,2,54.0,2
150,Akshaya Nagar,1280.0,2,58.0,2
151,Akshaya Nagar,1662.0,3,85.1,3
152,Akshaya Nagar,1897.0,3,120.0,3
153,Akshaya Nagar,1410.0,2,75.0,3
154,Akshaya Nagar,1360.0,2,85.0,3
155,Akshaya Nagar,1600.0,2,65.0,3
156,Akshaya Nagar,1410.0,2,80.0,3
157,Akshaya Nagar,1662.0,3,85.0,3
158,Akshaya Nagar,1662.0,3,85.5,3
159,Akshaya Nagar,1280.0,2,60.0,2
160,Akshaya Nagar,1666.0,3,95.0,3
161,Akshaya Nagar,1575.0,3,90.0,3
162,Akshaya Nagar,1430.0,2,75.0,3
163,Akshaya Nagar,1419.0,2,73.0,3
164,Akshaya Nagar,1280.0,2,60.0,2
165,Akshaya Nagar,1200.0,2,50.0,2
166,Akshaya Nagar,1092.0,2,60.0,2
167,Akshaya Nagar,1690.0,3,85.0,3
168,Akshaya Nagar,1700.0,3,80.0,3
169,Akshaya Nagar,1897.0,4,93.0,3
170,Akshaya Nagar,1884.0,3,98.0,3
171,Akshaya Nagar,1314.0,2,68.8,2
172,Akshaya Nagar,1690.0,3,85.0,3
173,Akshaya Nagar,1265.0,2,67.0,2
174,Akshaya Nagar,1126.0,2,55.0,2
175,Akshaya Nagar,2300.0,4,102.0,3
176,Akshaya Nagar,1662.0,3,90.0,3
177,Akshaya Nagar,1420.0,2,75.0,3
178,Akshaya Nagar,1412.0,2,88.0,3
179,Akshaya Nagar,1434.0,3,84.0,3
180,Akshaya Nagar,1890.0,4,100.0,3
181,Akshaya Nagar,2650.0,3,125.0,3
182,Akshaya Nagar,1419.0,2,87.0,3
183,Akshaya Nagar,1300.0,2,54.0,2
184,Akshaya Nagar,1690.0,3,85.0,3
185,Akshaya Nagar,1113.0,2,52.0,2
186,Akshaya Nagar,1820.0,4,95.0,3
187,Akshaya Nagar,1100.0,2,48.0,2
188,Akshaya Nagar,1896.0,3,102.0,3
189,Akshaya Nagar,1300.0,2,66.0,2
190,Akshaya Nagar,1225.0,2,68.0,2
191,Akshaya Nagar,1179.0,2,51.0,2
192,Akshaya Nagar,1421.0,2,73.0,3
193,Akshaya Nagar,1893.0,4,95.0,3
194,Akshaya Nagar,900.0,2,45.0,2
195,Banashankari,1200.0,2,42.0,3
196,Banashankari,1077.0,2,37.64,2
197,Banashankari,1470.0,2,88.64,3
198,Banashankari,1300.0,2,75.0,3
199,Banashankari,1800.0,3,115.0,3
200,Banashankari,1125.0,2,63.0,2
201,Banashankari,1340.0,2,53.6,3
202,Banashankari,1310.0,2,80.0,2
203,Banashankari,2600.0,4,135.0,3
204,Banashankari,1900.0,2,170.0,3
205,Banashankari,1260.0,2,75.0,2
206,Banashankari,1170.0,2,46.79,2
207,Banashankari,2500.0,4,95.0,4
208,Banashankari,1350.0,2,83.0,3
209,Banashankari,1425.0,3,49.88,3
210,Banashankari,1330.0,2,78.0,2
211,Banashankari,1400.0,2,78.0,3
212,Banashankari,1700.0,3,125.0,3
213,Banashankari,1020.0,2,40.79,2
214,Banashankari,1600.0,2,63.98,2
215,Banashankari,1041.0,2,36.44,2
216,Banashankari,2400.0,1,200.0,1
217,Banashankari,1390.0,2,86.0,2
218,Banashankari,1460.0,2,70.0,2
219,Banashankari,1200.0,2,60.0,2
220,Banashankari,1290.0,2,80.0,2
221,Banashankari,2582.0,5,250.0,3
222,Banashankari,1186.0,2,65.0,2
223,Banashankari,1650.0,3,101.0,3
224,Banashankari,1300.0,2,55.0,3
225,Banashankari,1181.0,2,75.0,2
226,Banashankari,1105.0,2,90.0,2
227,Banashankari,720.0,1,60.0,1
228,Banashankari,1040.0,2,45.0,2
229,Banashankari,1330.0,2,77.0,2
230,Banashankari,1200.0,2,49.0,2
231,Banashankari,1185.0,2,67.0,2
232,Banashankari,1000.0,2,50.0,2
233,Banashankari,1650.0,3,90.75,3
234,Banashankari,1650.0,3,101.0,3
235,Banashankari,1310.0,2,80.43,2
236,Banashankari,600.0,1,27.0,2
237,Banashankari,1430.0,2,87.8,2
238,Banashankari,1020.0,2,42.83,2
239,Banashankari,1372.0,2,48.02,3
240,Banashankari,1540.0,3,80.0,3
241,Banashankari,1195.0,2,35.84,2
242,Banashankari,1683.0,3,115.0,3
243,Banashankari,1800.0,3,125.0,3
244,Banashankari,1175.0,2,41.13,2
245,Banashankari,1750.0,2,89.0,3
246,Banashankari,1800.0,3,175.0,3
247,Banashankari,1450.0,2,50.75,2
248,Banashankari,1770.0,3,108.0,3
249,Banashankari,1800.0,3,125.0,3
250,Banashankari,1200.0,2,42.0,3
251,Banashankari,1420.0,3,66.0,3
252,Banashankari,1200.0,3,74.52,3
253,Banashankari,1100.0,2,63.0,2
254,Banashankari,1020.0,2,40.79,2
255,Banashankari,1260.0,2,75.0,2
256,Banashankari,1340.0,2,53.6,3
257,Banashankari,1426.0,3,85.0,3
258,Bannerghatta Road,500.0,1,18.5,1
259,Bannerghatta Road,1050.0,2,65.0,2
260,Bannerghatta Road,1170.0,2,66.0,3
261,Bannerghatta Road,595.0,1,33.32,1
262,Bannerghatta Road,1445.0,3,95.0,3
263,Bannerghatta Road,1640.0,2,120.0,3
264,Bannerghatta Road,1380.0,3,58.0,4
265,Bannerghatta Road,1460.0,2,90.0,3
266,Bannerghatta Road,1556.0,2,59.13,3
267,Bannerghatta Road,1179.0,2,66.02,2
268,Bannerghatta Road,1122.5,2,58.935,2
269,Bannerghatta Road,793.0,2,45.0,2
270,Bannerghatta Road,1484.0,3,52.5,3
271,Bannerghatta Road,1400.0,2,78.0,2
272,Bannerghatta Road,2700.0,5,158.0,5
273,Bannerghatta Road,1215.0,2,50.0,2
274,Bannerghatta Road,1654.0,3,100.0,3
275,Bannerghatta Road,1181.0,2,55.0,2
276,Bannerghatta Road,1460.0,2,72.0,3
277,Bannerghatta Road,1200.0,2,75.0,2
278,Bannerghatta Road,1760.0,3,67.0,3
279,Bannerghatta Road,595.0,1,31.83,1
280,Bannerghatta Road,1105.0,2,51.0,2
281,Bannerghatta Road,1255.0,2,65.26,2
282,Bannerghatta Road,1550.0,3,78.0,3
283,Bannerghatta Road,1550.0,3,82.0,3
284,Bannerghatta Road,1550.0,2,75.0,3
285,Bannerghatta Road,1650.0,3,122.0,3
286,Bannerghatta Road,912.0,2,55.0,2
287,Bannerghatta Road,1218.0,2,73.0,2
288,Bannerghatta Road,1427.0,2,48.51,3
289,Bannerghatta Road,1115.0,2,65.12,2
290,Bannerghatta Road,1344.0,2,42.0,3
291,Bannerghatta Road,1893.0,3,100.0,3
292,Bannerghatta Road,1600.0,3,95.0,3
293,Bannerghatta Road,1275.0,2,65.0,2
294,Bannerghatta Road,892.0,2,39.0,2
295,Bannerghatta Road,1880.0,3,95.0,3
296,Bannerghatta Road,1260.0,2,70.0,2
297,Bannerghatta Road,1788.0,3,90.0,3
298,Bannerghatta Road,1157.0,2,40.0,2
299,Bannerghatta Road,1150.0,2,65.0,2
300,Bannerghatta Road,10000.0,4,450.0,4
301,Bannerghatta Road,1100.0,2,39.0,2
302,Bannerghatta Road,1400.0,3,68.0,3
303,Bannerghatta Road,1725.0,3,110.0,3
304,Bannerghatta Road,9000.0,4,390.0,3
305,Bannerghatta Road,950.0,2,38.0,2
306,Bannerghatta Road,1220.0,2,80.0,2
307,Bannerghatta Road,1130.0,2,78.0,2
308,Bannerghatta Road,1350.0,2,51.0,3
309,Bannerghatta Road,1486.0,3,83.22,3
310,Bannerghatta Road,1460.0,2,75.0,3
311,Bannerghatta Road,1015.0,2,48.0,2
312,Bannerghatta Road,1115.0,2,61.0,2
313,Bannerghatta Road,1136.0,2,48.0,2
314,Bannerghatta Road,2700.0,4,260.0,4
315,Bannerghatta Road,1200.0,2,69.0,3
316,Bannerghatta Road,1465.0,2,76.0,3
317,Bannerghatta Road,1302.5,2,67.73,2
318,Bannerghatta Road,1200.0,2,65.0,2
319,Bannerghatta Road,1240.0,2,65.0,2
320,Bannerghatta Road,1476.0,3,125.0,3
321,Bannerghatta Road,1100.0,2,52.0,3
322,Bannerghatta Road,1532.5,3,84.29,3
323,Bannerghatta Road,1465.0,2,45.87,3
324,Bannerghatta Road,1268.0,2,69.0,2
325,Bannerghatta Road,1450.0,2,87.0,3
326,Bannerghatta Road,2932.0,5,195.0,4
327,Bannerghatta Road,1450.0,3,44.0,3
328,Bannerghatta Road,1625.0,2,75.0,3
329,Bannerghatta Road,960.0,2,58.0,2
330,Bannerghatta Road,1750.0,3,130.0,3
331,Bannerghatta Road,1275.0,2,73.0,2
332,Bannerghatta Road,1430.0,3,59.0,3
333,Bannerghatta Road,1240.0,2,71.0,2
334,Bannerghatta Road,1305.0,2,60.0,3
335,Bannerghatta Road,1215.0,2,68.0,2
336,Bannerghatta Road,1215.0,2,68.0,2
337,Bannerghatta Road,1894.0,3,115.0,3
338,Bannerghatta Road,1655.0,2,62.89,3
339,Bannerghatta Road,1693.0,3,89.0,3
340,Bannerghatta Road,1280.0,2,60.16,2
341,Bannerghatta Road,3230.0,5,165.0,4
342,Bannerghatta Road,630.0,1,35.0,1
343,Bannerghatta Road,1215.0,2,68.0,2
344,Bannerghatta Road,1365.0,3,76.18,3
345,Bannerghatta Road,1115.0,2,78.0,2
346,Bannerghatta Road,1532.5,3,79.465,3
347,Bannerghatta Road,1535.0,3,60.0,3
348,Bannerghatta Road,1655.0,3,90.0,3
349,Bannerghatta Road,1247.0,2,47.39,2
350,Bannerghatta Road,1237.5,2,49.49,2
351,Bannerghatta Road,1650.0,3,94.0,3
352,Bannerghatta Road,905.0,2,65.0,2
353,Bannerghatta Road,1000.0,2,50.0,2
354,Bannerghatta Road,2185.0,3,120.0,4
355,Bannerghatta Road,1012.0,2,45.0,2
356,Bannerghatta Road,1725.0,3,85.0,3
357,Bannerghatta Road,1460.0,2,80.0,3
358,Bannerghatta Road,1340.0,2,85.0,2
359,Bannerghatta Road,1711.0,3,125.0,3
360,Bannerghatta Road,1520.0,2,81.0,3
361,Bannerghatta Road,2826.0,3,148.0,3
362,Bannerghatta Road,1115.0,2,61.0,2
363,Bannerghatta Road,1154.0,2,47.0,2
364,Bannerghatta Road,1000.0,2,44.5,2
365,Bannerghatta Road,1250.0,2,48.0,2
366,Bannerghatta Road,1640.0,3,105.0,3
367,Bannerghatta Road,1656.0,2,62.93,3
368,Bannerghatta Road,1012.0,2,44.0,2
369,Bannerghatta Road,1527.0,3,115.0,3
370,Bannerghatta Road,1660.0,3,85.0,3
371,Bannerghatta Road,1880.0,3,96.5,3
372,Bannerghatta Road,1550.0,3,96.0,3
373,Bannerghatta Road,1200.0,2,78.0,2
374,Bannerghatta Road,1885.0,3,125.0,3
375,Bannerghatta Road,1453.0,2,73.0,3
376,Bannerghatta Road,1450.0,2,78.0,3
377,Bannerghatta Road,700.0,1,31.2,1
378,Bannerghatta Road,1630.0,3,68.0,3
379,Bannerghatta Road,1400.0,3,69.0,3
380,Bannerghatta Road,905.0,2,58.0,2
381,Bannerghatta Road,1465.0,2,75.0,3
382,Bannerghatta Road,1920.0,3,122.0,3
383,Bannerghatta Road,2400.0,4,180.0,4
384,Bannerghatta Road,1660.0,3,80.0,3
385,Bannerghatta Road,1270.0,2,45.0,2
386,Bannerghatta Road,1520.0,2,80.0,3
387,Bannerghatta Road,1270.0,2,73.0,3
388,Bannerghatta Road,1846.0,3,120.0,3
389,Bannerghatta Road,3000.0,4,140.0,4
390,Bannerghatta Road,1122.5,2,61.74,2
391,Bannerghatta Road,1655.0,3,95.0,3
392,Bannerghatta Road,1206.0,2,53.0,2
393,Bannerghatta Road,1150.0,2,55.0,2
394,Bannerghatta Road,1215.0,2,65.0,2
395,Bannerghatta Road,1510.0,2,110.0,3
396,Bannerghatta Road,1022.0,2,35.0,2
397,Bannerghatta Road,1246.0,2,47.35,2
398,Bannerghatta Road,1470.0,2,85.0,3
399,Bannerghatta Road,1160.0,2,45.0,2
400,Bannerghatta Road,970.0,2,57.0,2
401,Bannerghatta Road,1527.0,3,142.0,3
402,Begur Road,1200.0,2,44.0,2
403,Begur Road,1200.0,2,46.8,2
404,Begur Road,1160.0,2,44.0,2
405,Begur Road,1584.0,3,65.0,3
406,Begur Road,1500.0,2,54.0,3
407,Begur Road,1615.0,3,59.76,3
408,Begur Road,1200.0,2,43.2,2
409,Begur Road,1160.0,2,44.08,2
410,Begur Road,1200.0,2,45.0,2
411,Begur Road,1615.0,3,60.0,3
412,Begur Road,1410.0,2,53.0,3
413,Begur Road,1200.0,2,37.8,2
414,Begur Road,1160.0,2,40.59,2
415,Begur Road,1260.0,2,46.62,2
416,Begur Road,1600.0,3,58.14,3
417,Begur Road,1410.0,2,44.42,3
418,Begur Road,1500.0,2,70.0,3
419,Begur Road,1160.0,2,42.0,2
420,Begur Road,1240.0,2,39.06,2
421,Begur Road,1200.0,2,45.0,2
422,Begur Road,1500.0,2,55.0,3
423,Begur Road,1410.0,2,52.17,3
424,Begur Road,1615.0,3,58.0,3
425,Begur Road,1583.0,3,74.4,3
426,Begur Road,1170.0,2,46.0,2
427,Begur Road,1160.0,2,42.92,2
428,Begur Road,1410.0,2,52.17,3
429,Begur Road,1410.0,2,50.06,3
430,Begur Road,1565.0,2,59.76,3
431,Begur Road,1160.0,2,42.0,2
432,Begur Road,1400.0,2,50.06,3
433,Begur Road,1410.0,2,53.58,3
434,Begur Road,1200.0,2,45.0,2
435,Begur Road,1200.0,2,42.6,2
436,Begur Road,1160.0,2,42.0,2
437,Begur Road,1334.0,2,42.69,2
438,Begur Road,1565.0,2,57.91,3
439,Begur Road,1200.0,2,45.6,2
440,Begur Road,1215.0,2,43.13,2
441,Begur Road,1160.0,2,36.54,2
442,Begur Road,1615.0,3,50.87,3
443,Begur Road,1200.0,2,44.4,2
444,Begur Road,1565.0,2,49.3,3
445,Begur Road,1260.0,2,39.69,2
446,Begur Road,2464.5,6,118.0,4
447,Begur Road,1160.0,2,44.0,2
448,Begur Road,1410.0,2,49.34,3
449,Begur Road,952.0,2,42.0,2
450,Begur Road,1565.0,2,56.34,3
451,Begur Road,1565.0,2,56.0,3
452,Begur Road,1200.0,2,42.0,2
453,Begur Road,1240.0,2,45.88,2
454,Begur Road,1200.0,3,50.0,3
455,Begur Road,1410.0,2,44.42,3
456,Begur Road,1200.0,2,44.0,2
457,Begur Road,1500.0,2,47.25,3
458,Begur Road,1100.0,2,42.6,2
459,Begur Road,1565.0,2,57.91,3
460,Begur Road,1200.0,2,44.4,2
461,Begur Road,1160.0,2,36.54,2
462,Begur Road,1215.0,2,43.75,2
463,Begur Road,1200.0,2,44.73,2
464,Begur Road,1160.0,2,42.0,2
465,Begur Road,1410.0,2,54.99,3
466,Bellandur,1767.0,3,103.0,3
467,Bellandur,1205.0,2,66.0,2
468,Bellandur,1250.0,2,76.0,2
469,Bellandur,1000.0,2,50.0,2
470,Bellandur,1281.0,2,74.0,2
471,Bellandur,921.0,2,40.0,2
472,Bellandur,2025.0,4,109.0,4
473,Bellandur,1490.0,2,98.0,3
474,Bellandur,1398.0,3,68.0,3
475,Bellandur,2039.0,3,168.0,3
476,Bellandur,1605.0,3,85.0,3
477,Bellandur,1692.0,3,88.0,3
478,Bellandur,1220.0,2,60.0,2
479,Bellandur,1299.0,2,82.0,2
480,Bellandur,900.0,2,56.0,2
481,Bellandur,1350.0,2,79.0,2
482,Bellandur,1286.0,2,57.0,2
483,Bellandur,3016.0,4,230.0,4
484,Bellandur,1457.0,2,85.0,2
485,Bellandur,1195.0,2,51.0,2
486,Bellandur,1050.0,2,72.0,2
487,Bellandur,3600.0,4,260.0,4
488,Bellandur,1310.0,2,72.0,2
489,Bellandur,924.0,2,35.11,2
490,Bellandur,1785.0,3,118.0,3
491,Bellandur,1051.0,2,60.0,2
492,Bellandur,1450.0,3,68.0,3
493,Bellandur,1060.0,2,65.0,2
494,Bellandur,1100.0,2,62.0,2
495,Bellandur,1550.0,2,59.0,2
496,Bellandur,924.0,2,35.11,2
497,Bellandur,1400.0,2,44.81,3
498,Bellandur,1685.0,3,100.0,3
499,Bellandur,982.0,2,55.0,2
500,Bellandur,981.0,2,37.28,2
501,Bellandur,1205.0,2,59.0,2
502,Bellandur,1063.0,2,58.0,2
503,Bellandur,1201.0,2,59.99,2
504,Bellandur,1325.0,2,65.0,2
505,Bellandur,1281.0,2,87.0,2
506,Bellandur,2000.0,3,85.0,3
507,Bellandur,1200.0,2,52.0,2
508,Bellandur,1785.0,3,120.0,3
509,Bellandur,1088.0,2,48.0,2
510,Bellandur,1310.0,2,85.0,2
511,Bellandur,982.0,2,37.28,2
512,Bellandur,1465.0,3,90.0,2
513,Bellandur,1767.0,3,109.0,3
514,Bellandur,924.0,2,35.11,2
515,Bellandur,3600.0,4,245.0,4
516,Bellandur,1170.0,2,46.79,2
517,Bellandur,1150.0,2,69.44,2
518,Bellandur,1200.0,2,45.0,2
519,Bellandur,1830.0,3,90.0,3
520,Bellandur,1410.0,3,92.0,2
521,Bellandur,950.0,2,35.0,2
522,Bellandur,1015.0,2,60.0,2
523,Bellandur,2500.0,4,112.0,3
524,Bellandur,1685.0,3,101.0,3
525,Bellandur,1735.0,3,105.0,3
526,Bellandur,1685.0,3,115.0,3
527,Bellandur,1846.0,3,135.0,3
528,Bellandur,1049.0,2,51.0,2
529,Bellandur,1350.0,2,63.0,3
530,Bellandur,1211.0,2,63.0,2
531,Bellandur,1717.0,3,110.0,3
532,Bellandur,1420.0,3,62.0,3
533,Bellandur,1185.0,2,47.39,2
534,Bellandur,1200.0,2,62.0,2
535,Bellandur,1767.0,3,89.0,3
536,Bellandur,1830.0,3,89.0,3
537,Bellandur,2400.0,3,115.0,3
538,Bellandur,1251.0,2,47.0,2
539,Bellandur,1665.0,3,85.0,3
540,Bellandur,960.0,2,48.0,2
541,Bellandur,1690.0,2,116.0,3
542,Bellandur,950.0,1,40.0,1
543,Bellandur,850.0,2,45.0,2
544,Bellandur,1454.0,2,90.0,2
545,Bellandur,1830.0,3,91.86,3
546,Bellandur,1195.0,2,52.0,2
547,Bellandur,1435.0,2,115.0,3
548,Bellandur,1830.0,3,89.89,3
549,Bellandur,1260.0,2,83.5,2
550,Bellandur,1535.0,3,90.0,3
551,Bellandur,1047.0,2,75.0,2
552,Bellandur,1096.0,2,40.0,2
553,Bellandur,1262.0,2,47.0,2
554,Bisuvanahalli,1180.0,3,48.0,3
555,Bisuvanahalli,1075.0,2,35.0,3
556,Bisuvanahalli,1075.0,2,46.0,3
557,Bisuvanahalli,1075.0,2,36.0,3
558,Bisuvanahalli,1075.0,2,37.0,3
559,Bisuvanahalli,1075.0,2,45.0,3
560,Bisuvanahalli,1075.0,3,36.0,3
561,Bisuvanahalli,845.0,2,33.0,2
562,Bisuvanahalli,1075.0,2,45.0,3
563,Bisuvanahalli,845.0,2,37.0,2
564,Bisuvanahalli,1075.0,2,35.99,3
565,Bisuvanahalli,1075.0,2,36.0,3
566,Bisuvanahalli,845.0,2,29.0,2
567,Bisuvanahalli,1075.0,2,47.0,3
568,Bisuvanahalli,850.0,1,32.0,2
569,Bisuvanahalli,1075.0,2,50.0,3
570,Bisuvanahalli,1075.0,2,52.0,3
571,Bisuvanahalli,1180.0,2,46.0,3
572,Bisuvanahalli,1075.0,2,42.0,3
573,Bisuvanahalli,845.0,2,37.0,2
574,Bisuvanahalli,1075.0,2,43.0,3
575,Bisuvanahalli,700.0,1,32.0,2
576,Bisuvanahalli,1075.0,2,52.0,3
577,Bisuvanahalli,1075.0,2,50.0,3
578,Bisuvanahalli,1075.0,2,41.0,3
579,Bisuvanahalli,845.0,2,33.0,2
580,Bisuvanahalli,945.0,2,33.0,2
581,Bisuvanahalli,845.0,2,30.0,2
582,Bisuvanahalli,1200.0,2,41.0,3
